1364,Laimegger,Jakob,55,1809,10,26,,NULL,arbeiter,Bruneck__Kiens,Bruneck__Kiens,wunde
1365,Nocker,Jakob,,1809,11,30,,NULL,bauer,Bruneck__Platten,Bruneck__Oberwielenbach,kanone
1366,Müller,Bartlme,,1809,12,1,,NULL,arbeiter,Bruneck__St. Georgen,Bruneck__Lorenzen,gefallen
1367,Hellweger,Bartlme,,1809,12,2,,NULL,arbeiter,Bruneck__Lorenzen,unknown__Bruneck,gefallen
1368,Taschler,Johann,,1809,12,2,,NULL,handwerker,Bruneck__Lorenzen,unknown__Bruneck,wunde
1369,Steiner,Peter ,,1809,12,2,,NULL,handwerker,Bruneck__Niederwielen.,unknown__Niederolang,wunde
1370,Graber,Franz,,1809,12,2,,NULL,handwerker,Bruneck__Niederwielen.,unknown__Niederolang,wunde
1371,Oberparleitner,Michael,,1809,12,2,,NULL,handwerker,Bruneck__Ober-Rasen,unknown__Bruneck,gefallen
1372,Seyr,Johann,,1809,12,2,,NULL,bauer,Bruneck__Ober-Rasen,unknown__Bruneck,gefallen
1373,Aschmüller,Paul,,1809,12,2,,NULL,arbeiter,Bruneck__Oberwielenbach,unknown__Niederolang,wunde
1374,Gruber,Andreas,,1809,12,2,,NULL,handwerker,Bruneck__Ober-Rasen,unknown__Niederolang,wunde
1375,Taschler,Jakob,,1809,12,2,,NULL,arbeiter,Bruneck__Pfalzen,unknown__Bruneck,gefallen
1376,Hernegger,Josef,,1809,12,2,,NULL,bauer,Bruneck__Platten,unknown__Bruneck,wunde
1377,Lerchner,Peter ,,1809,12,2,,NULL,bauer,Bruneck__Pfalzen,Bruneck__Pfalzen,wunde
1378,Wolfsgruber,Johann,,1809,12,2,,NULL,geistlicher,Bruneck__Ameten ,Taufers__Gais,wunde
1379,Bergmeister,Joh.,,1809,12,2,,NULL,bauer,Bruneck__Tesselberg,unknown__Bruneck,gefallen
1380,Steiner,Johann,,1811,NULL,11,,NULL,wirt,Bruneck__Reischach,unknown__Civita vecchia (Spital),gefang.
1381,Alpegger,Peter,,1809,8,5,,NULL,bauer,Bruneck__Gözenberg,unknown__Unterau,wunde
1382,Innerbichler,Matthias,,1809,12,7,,NULL,bauer,Taufers__St. Jakob,unknown__Bruneck,gefallen
1383,Gruber,Josef,,1809,12,8,,NULL,bauer,Taufers__St. Jakob,unknown__Bruneck,gefallen
1384,Untersteiner,Alois,,1809,12,7,,NULL,arbeiter,Taufers__St. Jakob,unknown__Bruneck,gefallen
1385,Mölgg,Jakob,,1809,12,7,,NULL,bauer,Taufers__St. Jakob,unknown__Bruneck,gefallen
1386,Tasser,Josef ,,1809,12,7,,NULL,arbeiter,Taufers__St. Jakob,unknown__Bruneck,gefallen
1387,Leiter,Johann,,1809,12,7,,NULL,handwerker,Taufers__St. Johann,unknown__Bruneck,gefallen
1388,Hofer,Thomas ,,1809,12,2,,NULL,arbeiter,Taufers__St. Johann,unknown__Bruneck,gefallen
1389,Stegger,Sebast.,,1809,12,2,,NULL,arbeiter,Taufers__St. Johann,unknown__Bruneck,gefallen
1390,Mairzupirch,Joh.,,1809,12,2,,NULL,sonst.,Taufers__Luttach,unknown__Bruneck,gefallen
1391,Auer,Urban,,1809,11,6,,NULL,sonst.,Taufers__Winkel,unknown__Bruneck,gefallen
1392,Früh,Matthias,,1809,12,12,,NULL,bauer,Taufers__Moritzen,unknown__Bruneck,gefallen
1393,Kirchler,Johann,,1809,12,2,,NULL,arbeiter,Taufers__Ahornach,unknown__Bruneck,gefallen
1394,Winding,Franz,,1809,12,2,,NULL,bauer,Taufers__Sand,unknown__Bruneck,gefallen
1395,Winding,Bartlme,,1809,12,3,,NULL,bauer,Taufers__Sand,unknown__Bruneck,gefallen
1396,Schöllberger,Georg,,1809,12,4,,NULL,arbeiter,Taufers__Sand,unknown__Bruneck,gefallen
1397,Niederkofler,Jakob,,1809,12,5,,NULL,sonst.,Taufers__Mühlen,unknown__Bruneck,gefallen
1398,Kloker,Franz,,1809,12,6,,NULL,arbeiter,Taufers__Moritzen,unknown__Bruneck,gefallen
1399,Früh,Georg,,1809,12,7,,NULL,bauer,Taufers__Moritzen,unknown__Bruneck,gefallen
1400,Auer,Silvester,,1809,12,8,,NULL,arbeiter,Taufers__Ahornach,unknown__Bruneck,gefallen
1401,Gostner,Sebastian,17,1809,12,9,,NULL,arbeiter,Taufers__Mühlen,unknown__Bruneck,exekution
1402,Warscher,Anton,,1810,1,10,,NULL,handwerker,Taufers__Aßling,unknown__Taufers (Sand),exekution
1403,Egger,Georg,,1809,12,2,,NULL,söldner,Taufers__Mühlbach,unknown__Bruneck,wunde
1404,Reiner,Thomas,,1809,12,2,,NULL,arbeiter,Taufers__Tesselberg,unknown__Bruneck,wunde
1405,Auer,Josef,,1809,12,2,,NULL,bauer,Taufers__Rein,unknown__Bruneck,wunde
